Title,Year,IMDB_rating,MPA_rating,Duration,Category,Director
Before Sunrise,1995,8.1,R,1h 41m,Drama,Richard Linklater
The General,1926,8.2,Passed,1h 7m,Action,Clyde Bruckman
Gone Girl,2014,8.1,R,2h 29m,Drama,David Fincher
Harry Potter and the Deathly Hallows: Part 2,2011,8.1,PG-13,2h 10m,Adventure,David Yates
The Deer Hunter,1978,8.1,R,3h 3m,Drama,Michael Cimino
In the Name of the Father,1993,8.1,R,2h 13m,Biography,Jim Sheridan
The Grand Budapest Hotel,2014,8.1,R,1h 39m,Adventure,Wes Anderson
Mr. Smith Goes to Washington,1939,8.1,Passed,2h 9m,Comedy,Frank Capra
The Wages of Fear,1953,8.2,Not Rated,2h 11m,Adventure,Henri-Georges Clouzot
Barry Lyndon,1975,8.1,PG,3h 5m,Adventure,Stanley Kubrick
Sherlock Jr.,1924,8.2,Passed,45m,Action,Buster Keaton
Memories of Murder,2003,8.1,Not Rated,2h 12m,Crime,Bong Joon Ho
Hacksaw Ridge,2016,8.1,R,2h 19m,Biography,Mel Gibson
Klaus,2019,8.1,PG,1h 36m,Animation,Sergio Pablos
The Seventh Seal,1957,8.1,Not Rated,1h 36m,Drama,Ingmar Bergman
Room,2015,8.1,R,1h 58m,Drama,Lenny Abrahamson
Wild Tales,2014,8.1,R,2h 2m,Comedy,Damián Szifron
Mad Max: Fury Road,2015,8.1,R,2h,Action,George Miller
The Big Lebowski,1998,8.1,R,1h 57m,Comedy,Joel Coen
How to Train Your Dragon,2010,8.1,PG,1h 38m,Animation,Dean DeBlois
Mary and Max,2009,8.1,Not Rated,1h 32m,Animation,Adam Elliot
"Monsters, Inc.",2001,8.1,G,1h 32m,Animation,Pete Docter
Jaws,1975,8.1,PG,2h 4m,Adventure,Steven Spielberg
The Passion of Joan of Arc,1928,8.2,Passed,1h 54m,Biography,Carl Theodor Dreyer
Tokyo Story,1953,8.2,Not Rated,2h 16m,Drama,Yasujirô Ozu
Dead Poets Society,1989,8.1,PG,2h 8m,Comedy,Peter Weir
Hotel Rwanda,2004,8.1,PG-13,2h 1m,Biography,Terry George
Rocky,1976,8.1,PG,2h,Drama,John G. Avildsen
Platoon,1986,8.1,R,2h,Drama,Oliver Stone
Ford v Ferrari,2019,8.1,PG-13,2h 32m,Action,James Mangold
Pather Panchali,1955,8.3,Not Rated,2h 5m,Drama,Satyajit Ray
Stand by Me,1986,8.1,R,1h 29m,Adventure,Rob Reiner
The Terminator,1984,8.1,R,1h 47m,Action,James Cameron
Spotlight,2015,8.1,R,2h 9m,Biography,Tom McCarthy
Rush,2013,8.1,R,2h 3m,Action,Ron Howard
Network,1976,8.1,R,2h 1m,Drama,Sidney Lumet
Logan,2017,8.1,R,2h 17m,Action,James Mangold
Into the Wild,2007,8.1,R,2h 28m,Adventure,Sean Penn
The Wizard of Oz,1939,8.1,G,1h 42m,Adventure,Victor Fleming
Ratatouille,2007,8.1,G,1h 51m,Animation,Brad Bird
Groundhog Day,1993,8.1,PG,1h 41m,Comedy,Harold Ramis
Before Sunset,2004,8.1,R,1h 20m,Drama,Richard Linklater
The Exorcist,1973,8.1,R,2h 2m,Horror,William Friedkin
The Best Years of Our Lives,1946,8.1,Approved,2h 50m,Drama,William Wyler
The Incredibles,2004,8.0,PG,1h 55m,Animation,Brad Bird
To Be or Not to Be,1942,8.2,Passed,1h 39m,Comedy,Ernst Lubitsch
The Battle of Algiers,1966,8.1,Not Rated,2h 1m,Drama,Gillo Pontecorvo
Rebecca,1940,8.1,Approved,2h 10m,Drama,Alfred Hitchcock
The Grapes of Wrath,1940,8.1,Passed,2h 9m,Drama,John Ford
Hachi: A Dog's Tale,2009,8.1,G,1h 33m,Biography,Lasse Hallström
Cool Hand Luke,1967,8.1,GP,2h 7m,Crime,Stuart Rosenberg
Amores perros,2000,8.1,R,2h 34m,Drama,Alejandro G. Iñárritu
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,PG-13,2h 23m,Action,Gore Verbinski
La Haine,1995,8.1,Not Rated,1h 38m,Crime,Mathieu Kassovitz
The 400 Blows,1959,8.1,Not Rated,1h 39m,Crime,François Truffaut
My Father and My Son,2005,8.2,Not Rated,1h 52m,Drama,Cagan Irmak
Persona,1966,8.1,Not Rated,1h 23m,Drama,Ingmar Bergman
It Happened One Night,1934,8.1,Passed,1h 45m,Comedy,Frank Capra
Life of Brian,1979,8.0,R,1h 34m,Comedy,Terry Jones
The Sound of Music,1965,8.1,G,2h 52m,Biography,Robert Wise
Dersu Uzala,1975,8.2,G,2h 22m,Adventure,Akira Kurosawa
The Handmaiden,2016,8.1,Not Rated,2h 25m,Drama,Park Chan-wook
Gandhi,1982,8.1,PG,3h 11m,Biography,Richard Attenborough
Aladdin,1992,8.0,G,1h 30m,Animation,Ron Clements
Jai Bhim,2021,8.9,TV-MA,2h 44m,Crime,T.J. Gnanavel
The Help,2011,8.1,PG-13,2h 26m,Drama,Tate Taylor
Beauty and the Beast,1991,8.0,G,1h 24m,Animation,Gary Trousdale
